segmento_id,fecha,hora,tipo_dia,es_fin,precipitacion,entrada_estudiantes,salida_estudiantes,entrada_trabajadores,salida_trabajadores,hora_pico,longitud_km,paradas_cercanas,nivel_congestion,velocidad_kmh,carga_vehicular,construccion_vial
9,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,205,0
10,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,395,0
1,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,455,0
2,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,575,0
3,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,387,0
4,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,634,0
5,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,110,0
6,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,595,0
7,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,263,0
8,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,603,0
9,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,596,0
10,2025-10-28,02:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,211,0
1,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,612,0
2,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,131,0
3,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,572,0
4,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,208,0
5,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,406,0
6,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,438,0
7,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,315,0
8,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,185,0
9,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,357,0
10,2025-10-28,03:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,97,0
1,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,413,1
2,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,319,0
3,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,263,0
4,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,141,1
5,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,367,0
6,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,522,0
7,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,458,0
8,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,293,0
9,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,360,0
10,2025-10-28,04:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,448,1
1,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,535,0
2,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,482,0
3,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,351,0
4,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,552,1
5,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,132,0
6,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,475,0
7,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,579,0
8,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,508,0
9,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,197,0
10,2025-10-28,05:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,237,0
1,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,12.755,6,3,26,801,0
2,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,13.073,4,3,26,780,0
3,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,12.969,3,3,26,818,0
4,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,13.055,5,3,26,115,0
5,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,12.614,3,3,26,110,0
6,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,13.621,6,3,26,129,0
7,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,13.167,2,3,26,666,0
8,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,13.335,2,3,26,222,0
9,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,15.138,4,3,26,822,0
10,2025-10-28,06:00,Tuesday,0,0.0,0,0,0,0,1,41.974,1,3,26,347,0
1,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,12.755,6,5,10,502,0
2,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,13.073,4,5,10,232,0
3,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,12.969,3,5,10,882,0
4,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,13.055,5,5,10,277,1
5,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,12.614,3,5,10,490,0
6,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,13.621,6,5,10,507,0
7,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,13.167,2,5,10,537,0
8,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,13.335,2,5,10,127,0
9,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,15.138,4,5,10,945,0
10,2025-10-28,07:00,Tuesday,0,0.0,1,0,1,0,1,41.974,1,5,10,1150,0
1,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,12.755,6,3,26,245,0
2,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,13.073,4,3,26,315,0
3,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,12.969,3,3,26,245,0
4,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,13.055,5,3,26,714,0
5,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,12.614,3,3,26,587,0
6,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,13.621,6,3,26,484,0
7,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,13.167,2,3,26,153,0
8,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,13.335,2,3,26,665,0
9,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,15.138,4,3,26,798,0
10,2025-10-28,08:00,Tuesday,0,0.0,0,0,0,0,1,41.974,1,3,26,600,0
1,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,12.755,6,2,34,542,0
2,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,13.073,4,2,34,720,0
3,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,12.969,3,2,34,312,1
4,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,13.055,5,2,34,305,0
5,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,12.614,3,2,34,777,1
6,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,13.621,6,2,34,780,0
7,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,13.167,2,2,34,305,0
8,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,13.335,2,2,34,307,0
9,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,15.138,4,2,34,270,0
10,2025-10-28,09:00,Tuesday,0,2.58,0,0,0,0,0,41.974,1,2,34,206,0
1,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,358,0
2,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,416,0
3,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,514,0
4,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,262,0
5,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,422,0
6,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,193,0
7,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,119,0
8,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,334,0
9,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,336,0
10,2025-10-28,10:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,479,0
1,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,594,0
2,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,443,0
3,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,236,0
4,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,529,0
5,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,265,0
6,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,98,0
7,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,306,0
8,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,553,0
9,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,126,0
10,2025-10-28,11:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,417,0
1,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,396,0
2,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,598,0
3,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,312,0
4,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,239,0
5,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,159,0
6,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,382,0
7,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,458,0
8,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,531,0
9,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,218,0
10,2025-10-28,12:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,341,0
1,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,314,0
2,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,366,0
3,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,595,0
4,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,239,0
5,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,339,0
6,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,538,0
7,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,466,0
8,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,153,0
9,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,357,0
10,2025-10-28,13:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,635,0
1,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,12.755,6,2,34,756,1
2,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,13.073,4,2,34,793,1
3,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,12.969,3,2,34,508,0
4,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,13.055,5,2,34,353,0
5,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,12.614,3,2,34,156,0
6,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,13.621,6,2,34,617,0
7,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,13.167,2,2,34,667,0
8,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,13.335,2,2,34,481,0
9,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,15.138,4,2,34,414,0
10,2025-10-28,14:00,Tuesday,0,9.82,0,0,0,0,0,41.974,1,2,34,590,0
1,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,332,0
2,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,308,0
3,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,157,0
4,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,227,0
5,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,591,0
6,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,555,1
7,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,347,0
8,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,80,0
9,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,382,0
10,2025-10-28,15:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,326,1
1,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,12.755,6,3,26,148,0
2,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,13.073,4,3,26,718,0
3,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,12.969,3,3,26,573,0
4,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,13.055,5,3,26,362,0
5,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,12.614,3,3,26,642,0
6,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,13.621,6,3,26,98,0
7,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,13.167,2,3,26,454,0
8,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,13.335,2,3,26,218,0
9,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,15.138,4,3,26,330,0
10,2025-10-28,16:00,Tuesday,0,0.0,0,0,0,0,1,41.974,1,3,26,191,0
1,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,12.755,6,5,10,1145,0
2,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,13.073,4,5,10,330,0
3,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,12.969,3,5,10,552,0
4,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,13.055,5,5,10,420,0
5,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,12.614,3,5,10,1070,0
6,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,13.621,6,5,10,770,0
7,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,13.167,2,5,10,702,0
8,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,13.335,2,5,10,577,0
9,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,15.138,4,5,10,752,0
10,2025-10-28,17:00,Tuesday,0,0.0,0,1,0,1,1,41.974,1,5,10,850,0
1,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,12.755,6,3,26,393,0
2,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,13.073,4,3,26,906,0
3,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,12.969,3,3,26,353,0
4,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,13.055,5,3,26,522,0
5,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,12.614,3,3,26,454,0
6,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,13.621,6,3,26,556,0
7,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,13.167,2,3,26,167,0
8,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,13.335,2,3,26,412,0
9,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,15.138,4,3,26,266,1
10,2025-10-28,18:00,Tuesday,0,0.0,0,0,0,0,1,41.974,1,3,26,133,0
1,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,12.755,6,2,34,379,0
2,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,13.073,4,2,34,611,0
3,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,12.969,3,2,34,380,0
4,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,13.055,5,2,34,206,0
5,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,12.614,3,2,34,124,0
6,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,13.621,6,2,34,652,0
7,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,13.167,2,2,34,481,0
8,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,13.335,2,2,34,692,0
9,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,15.138,4,2,34,528,0
10,2025-10-28,19:00,Tuesday,0,4.3,0,0,0,0,0,41.974,1,2,34,550,0
1,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,270,0
2,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,150,0
3,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,365,0
4,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,150,0
5,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,206,1
6,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,401,0
7,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,461,0
8,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,445,0
9,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,564,0
10,2025-10-28,20:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,184,0
1,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,12.755,6,2,34,371,0
2,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,13.073,4,2,34,473,0
3,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,12.969,3,2,34,420,0
4,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,13.055,5,2,34,712,0
5,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,12.614,3,2,34,172,0
6,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,13.621,6,2,34,112,0
7,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,13.167,2,2,34,662,0
8,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,13.335,2,2,34,145,0
9,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,15.138,4,2,34,286,0
10,2025-10-28,21:00,Tuesday,0,6.26,0,0,0,0,0,41.974,1,2,34,369,0
1,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,114,0
2,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,438,0
3,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,261,0
4,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,200,0
5,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,266,1
6,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,581,0
7,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,227,0
8,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,432,0
9,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,426,0
10,2025-10-28,22:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,265,0
1,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,345,0
2,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,114,0
3,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,66,1
4,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,267,0
5,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,318,0
6,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,105,0
7,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,322,0
8,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,312,0
9,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,96,0
10,2025-10-28,23:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,113,0
1,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,12.755,6,1,42,409,0
2,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,13.073,4,1,42,304,0
3,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,12.969,3,1,42,301,0
4,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,13.055,5,1,42,175,0
5,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,12.614,3,1,42,426,0
6,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,13.621,6,1,42,575,0
7,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,13.167,2,1,42,256,0
8,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,13.335,2,1,42,362,0
9,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,15.138,4,1,42,310,0
10,2025-10-29,00:00,Wednesday,0,0.0,0,0,0,0,0,41.974,1,1,42,379,0
1,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,12.755,6,1,42,452,0
2,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,13.073,4,1,42,291,0
3,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,12.969,3,1,42,188,0
4,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,13.055,5,1,42,96,0
5,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,12.614,3,1,42,408,0
6,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,13.621,6,1,42,605,0
7,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,13.167,2,1,42,70,0
8,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,13.335,2,1,42,141,0
9,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,15.138,4,1,42,356,1
10,2025-10-29,01:00,Wednesday,0,0.0,0,0,0,0,0,41.974,1,1,42,564,0
1,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,12.755,6,1,42,587,0
2,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,13.073,4,1,42,583,0
3,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,12.969,3,1,42,221,0
4,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,13.055,5,1,42,447,0
5,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,12.614,3,1,42,223,0
6,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,13.621,6,1,42,148,0
7,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,13.167,2,1,42,215,0
8,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,13.335,2,1,42,579,0
9,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,15.138,4,1,42,378,0
10,2025-10-29,02:00,Wednesday,0,0.0,0,0,0,0,0,41.974,1,1,42,616,0
1,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,12.755,6,1,42,322,0
2,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,13.073,4,1,42,647,0
3,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,12.969,3,1,42,196,0
4,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,13.055,5,1,42,380,0
5,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,12.614,3,1,42,215,0
6,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,13.621,6,1,42,128,0
7,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,13.167,2,1,42,408,0
8,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,13.335,2,1,42,430,0
9,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,15.138,4,1,42,375,0
10,2025-10-29,03:00,Wednesday,0,0.0,0,0,0,0,0,41.974,1,1,42,253,0
